skills
"Project management, Leadership, Risk management, Communication, Scheduling, Budget management"
"Software testing, Test planning, Test scripting, Bug tracking, Quality assurance,"
"Pl/SQL, Database development, Programming, Problem-solving, Debugging,"
"Consulting, Business analysis, Communication, Problem-solving, Client management,"
"Programming, Software development, Problem-solving, Debugging, Communication,"
"React, Front-end development, JavaScript, Problem-solving, Debugging,"
"WAS administration, Systems administration, Scripting, Troubleshooting, Communication,"
"Back-end development, Programming, Problem-solving, Debugging, Database management,"
"Solution analysis, Business analysis, Communication, Problem-solving, Documentation,"
"SAP BASIS, Systems administration, Technical expertise, Troubleshooting, Communication,"
"Software testing, Automation, Test planning, Test scripting, Bug tracking, Quality assurance"
"SAP MM, Functional expertise, Communication, Problem-solving, Systems implementation,"
"SQL Server, Database administration, SQL, Performance tuning, Backup and recovery,"
"Windows administration, Systems administration, Scripting, Troubleshooting, Communication,"
"Leadership, Technical expertise, Communication, Project management, Problem-solving,"
"Network protocols, automation scripting (Python, Bash), Linux administration"
"Change management methodology, communication, stakeholder management, risk management"
"Project management, SAP experience, ABAP programming, communication, leadership"
"C#, .NET framework/core, ASP.NET, object-oriented programming "
"Programming languages (e.g., Java, Python), software development lifecycle (SDLC), problem-solving skills"
"ABAP programming, SAP modules (e.g., FICO, MM), understanding of ERP systems"
"SAP testing methodologies, test automation tools (e.g., Selenium), SAP modules (e.g., FI, CO)"
"Testing experience, leadership, communication, reporting"
"Technical knowledge (varies by role), problem-solving, customer service"
"SAP MM and WM modules, understanding of supply chain management"
"HTML, CSS, JavaScript, frontend frameworks (e.g., React, Angular)"
"ABAP programming, SAP experience, problem-solving"
"Java programming, object-oriented programming , software development lifecycle (SDLC)"
"Security principles, vulnerability assessment, penetration testing "
"Engineering discipline (e.g., software, network), problem-solving, analytical skills"
"Testing methodologies, test automation tools (e.g., Selenium), software development lifecycle (SDLC)"
"Technical knowledge (broad), recruiting skills, communication"
"User experience (UX) design principles, usability testing, design software (e.g., Figma)"
"SAP testing methodologies, SAP modules (project specific)"
"SAP BW (Business Warehouse), data warehousing concepts, leadership"
"Java programming, object-oriented programming , software development lifecycle (SDLC)"
"Engineering discipline (e.g., software, network), leadership, problem-solving"
"Testing methodologies, test automation tools (e.g., Selenium)"
"Angular framework, JavaScript, TypeScript, frontend development"
"HTML, CSS, JavaScript, web development principles"
"AWS cloud services, DevOps methodologies, scripting (e.g., Python, Bash)"
"ABAP programming, SAP HR module, understanding of HR processes"
"Teamwork, leadership, communication, project management (basic)"
"C#, .NET framework/core, leadership, project management"
"Security principles, vulnerability assessment, penetration testing, communication"
"C#, .NET framework/core, ASP.NET, HTML, CSS, JavaScript"
"Informatica PowerCenter, data integration concepts, ETL (Extract, Transform, Load)"
"Project management, leadership, communication, client relationship management"
"Project management, communication, stakeholder management, PMO (Project Management Office) tools"
"User interface (UI) design principles, user experience (UX) design principles, development skills (HTML, CSS, JavaScript)"
"SAP MM module, S/4HANA knowledge, understanding of supply chain management"
"SAP MM and PP (Production Planning) modules, understanding of manufacturing processes"
"Recruiting skills, leadership, communication, HR knowledge "
"Java, JavaScript, HTML, CSS, frontend frameworks (e.g., React)"
"SAP PI (Process Integration) and PO (Process Orchestration) modules, integration concepts"
"Business process knowledge, communication, analytical skills, problem-solving"
"Project management, leadership, communication, client relationship management"
"Security principles, vulnerability assessment, communication "
"ABAP programming, OData protocol, SAP development experience"
"SAP HCM (Human Capital Management) module, HR knowledge "
"SAP Basis module, system administration, leadership"
"C#, .NET Framework/Core, web development concepts (HTML, CSS, JavaScript) , object-oriented programming  basics"
"C#, .NET Framework/Core, experience building complex applications, problem-solving, analytical skills, clean code practices, unit testing, code reviews (possible), cloud platforms (AWS, Azure) , API development , leadership/mentoring , DevOps , design patterns/architectural principles "
"Technical knowledge (varies by role), problem-solving, customer service"
"ABAP programming, SAP HANA database platform"
"Oracle Supply Chain Management (SCM) applications, technical knowledge"
"SAP FICO (Finance and Controlling) module, understanding of accounting principles"
"AWS cloud services, DevOps methodologies, scripting (e.g., Python, Bash)"
"Technical knowledge (broad), solution design, communication, leadership"
"Oracle Identity and Access Management (IAM), Java programming"
"Power BI toolset, data analysis, data visualization"
"Java programming, object-oriented programming , backend development"
"Oracle Financial applications, technical knowledge"
"PHP programming, web development"
"Database administration, SQL, database security"
"Technical knowledge (broad), project management, leadership"
"AWS cloud services, infrastructure management"
"ABAP programming, SAP workflow module, leadership"
"Angular framework, C#, .NET framework/core, HTML, CSS, JavaScript"
"SAP BASIS administration, Selenium automation testing tool"
"SAP BI (Business Warehouse), data warehousing concepts, leadership"
"SAP MM module, understanding of supply chain management, release management"
"Security principles, vulnerability assessment, penetration testing"
"Java programming, object-oriented programming , backend development"
"SAP BASIS administration, S/4HANA knowledge"
"Programming languages (e.g., Java, Python), problem-solving skills"
"Data architecture, data modeling, database design"
"SAP ABAP (obscure term, likely a typo for a specific SAP module)"
"Testing methodologies, test automation tools (e.g., Selenium), leadership"
"ABAP programming, SAP customization experience"
"C#, .NET core framework, web development"
"SAP MM module, understanding of APIs"
"Mainframe programming languages (e.g., COBOL), JCL"
"Project management, communication"
"Database administration, leadership"
"ABAP programming, object-oriented programming "
"ABAP programming, specific SAP module expertise, leadership"
"SAP testing methodologies, SAP FICO module"
ABAP programming
"SAP Output Management (OM) administration, Service-Oriented Architecture (SOA)"
"AWS cloud services, advanced development skills"
"ABAP programming, Core Data Services (CDS)"
"Java programming, Spring Boot framework"
"HTML, CSS, JavaScript, frontend development frameworks (e.g., React, Angular)"
"Network administration, leadership"
"Technical knowledge (broad), solution design, communication"
"Software development skills (varies by role), problem-solving"
"Security principles, vulnerability assessment, penetration testing"
"User interface (UI) design principles, Angular framework"
"SAP BASIS administration, leadership"
"SAP HCM (Human Capital Management) module, leadership"
"System administration, data backup and recovery"
"Leadership, operational knowledge (industry specific)"
"Kronos workforce management system, reporting tools"
"Oracle Fusion CRM applications, salesforce automation"
"Testing methodologies, test automation tools (e.g., Selenium)"
"Java programming, object-oriented programming , full-stack development"
Technical knowledge (broad
"Software development methodologies, problem-solving, analytical skills"
"Biology background, understanding of bioinformatics tools, testing methodologies"
"Pega platform development, business process modeling"
"ABAP programming, SAP Master Data Governance (MDG) module"
"CRM system knowledge, customer service skills"
"Robotic Process Automation (RPA), UI Path platform"
"Problem-solving, communication, leadership, technical knowledge (varies by role)"
"Instructional design, adult learning principles, subject matter expertise (varies by role)"
"Sharepoint administration, migration tools and techniques"
SAP FICO (Finance and Controlling) module
"Security principles, SAP security administration, S/4HANA knowledge"
"SAP Project Management (PM) module, SAP FICO (Finance and Controlling) module"
"Marketing principles, communication, social media "
Recruiting skills (may vary)
"Business acumen, data analysis, reporting"
"Business acumen, data analysis, reporting, insurance industry knowledge "
"Recruiting skills, leadership, communication"
"Healthcare industry knowledge, consulting skills, project management "
"Banking industry knowledge, relationship management, sales"
"Customer service skills, financial services knowledge "
"Testing methodologies, test automation tools (e.g., Selenium)"
"HTML, CSS, JavaScript, frontend frameworks (e.g., React, Angular), insurance industry knowledge "
"Internal audit experience, accounting principles"
"Microsoft Business Intelligence (MSBI) tools, data warehousing concepts"
"Node.js programming, web development"
"Banking procedures, financial transactions"
"Know Your Customer (KYC) and Customer Due Diligence (CDD) regulations, compliance"
"Internal audit experience, accounting principles"
"Security principles, SAP security administration"
"Financial analysis, private equity industry knowledge"
"MongoDB database, Express.js framework, React.js library, Node.js programming"
"Banking industry knowledge, leadership, relationship management"
"Research methodologies, data analysis, communication"
"Procurement experience, negotiation skills"
"E-commerce experience, agribusiness knowledge "
"Digital marketing principles, social media marketing "
"Business development experience, financial services knowledge"
"Relationship management, sales (may focus on specific products)"
"Telemarketing skills, financial services knowledge "
"Testing methodologies, insurance industry knowledge "
"Social media marketing, insurance industry knowledge "
"Data analysis, data visualization"
"Business development experience, financial services knowledge"
"Digital marketing principles, social media marketing "
"C#, .NET framework/core, web development, fintech industry knowledge "
"Compliance regulations, consulting experience"
"Data migration techniques, project management "
"Mortgage lending experience, leadership"
"Reporting tools and techniques, pharmaceutical"
"Hindi language proficiency, writing skills, insurance industry knowledge "
"Banking industry knowledge, relationship management, financial analysis, credit underwriting "
"IT auditing experience, understanding of statutory regulations"
"Banking procedures, customer service skills, sales "
"Looker platform development, data analysis, data visualization"
"Business strategy, consulting experience, pharmaceutical industry knowledge"
"Business process analysis, change management, project management"
"User interface (UI) design principles, user experience (UX) design principles, development skills (HTML, CSS, JavaScript)"
"Banking industry knowledge, relationship management, sales"
"React.js framework, JavaScript, web development, fintech industry knowledge "
"Recruiting skills, HR knowledge, communication"
"Data migration techniques, project management , pharmaceutical industry knowledge "
"Banking industry knowledge, leadership, relationship management"
"Strategic planning, business acumen, communication"
"Cybersecurity knowledge, IT governance experience"
"Node.js programming, web development, fintech industry knowledge "
"Reporting tools and techniques, pharmaceutical industry knowledge"
"E-commerce experience, agribusiness knowledge "
"Financial analysis, private equity industry knowledge"
"React.js framework, JavaScript, web development, fintech industry knowledge "
"User interface (UI) design principles, user experience (UX) design principles, development skills (HTML, CSS, JavaScript)"
"Sales experience, account management, communication"
"Technical knowledge (broad), leadership, communication"
"Product management experience, market knowledge (industry specific)"
"Administrative skills, communication, office management"
"Embedded systems programming, hardware knowledge"
Python programming
Node.js programming
"Cybersecurity knowledge, embedded systems programming"
Node.js programming
"Artificial intelligence (AI) concepts, machine learning, programming skills (Python preferred)"
"C#, .NET framework/core, web development"
Full-stack development skills (front-end and back-end)
"Python programming, software development methodologies"
"Python programming, web development"
Full-stack development skills (front-end and back-end)
"Software development skills (varies by role), problem-solving"
"Back-end development skills (e.g., Python, Java)"
"Python programming, technical leadership"
"Python programming, web development"
"Blockchain technology, programming skills (varies by role)"
Search engine optimization (SEO) or pay-per-click (PPC) experience (depending on role)
"Big data concepts, data engineering tools (e.g., Hadoop, Spark)"
"Cloud computing technologies (e.g., AWS, Azure, GCP)"
"Data science skills (statistics, machine learning), programming skills (Python R)"
Pay-per-click (PPC) advertising experience
"Technical knowledge (broad), solution design, leadership"
"Machine learning expertise, programming skills (Python preferred)"
"User interface (UI) design principles, user experience (UX) design principles"
"Salesforce platform development, technical"
"Back-end development skills (e.g., Java, Python), system administration"
"Android development skills (Java, Kotlin), mobile development experience"
"Python programming basics, scripting"
"Salesforce development skills (Apex, Visualforce), cloud development experience "
"Android development skills (Java, Kotlin), mobile development experience"
"Pay-per-click (PPC) advertising experience, digital marketing knowledge "
"Python programming, software development methodologies"
"Unity development experience, C# programming (preferred)"
"C#, .NET framework/core, web development"
"Data architecture, data modeling, big data concepts "
"Data engineering skills (e.g., Hadoop, Spark), big data concepts"
"Search engine marketing (SEM) strategies, digital marketing experience"
"Data engineering skills (e.g., SQL, Python), data analysis"
"Search engine marketing (SEM) strategies, leadership"
"React.js framework, Node.js programming, front-end and back-end development"
"Salesforce platform development, technical knowledge"
"Software development skills (varies by role), problem-solving, experience in complex systems (likely)"
"Digital marketing experience, performance marketing strategies (e.g., PPC, social media advertising)"
"Java programming basics, object-oriented programming "
"Google Analytics expertise, web analytics"
Programmatic advertising experience (buying and selling ad inventory)
Full-stack development skills (front-end and back-end)
"Software testing methodologies, quality assurance experience"
"Data engineering skills (e.g., Hadoop, Spark), leadership"
"Search engine marketing (SEM) strategies, digital marketing experience"
"Python programming, software development experience"
"C#, .NET framework development, web development"
"Android development skills (Java, Kotlin), mobile development experience"
"Advertising technology (AdTech) experience, digital marketing"
"Software development skills (varies by role), problem-solving, experience in complex systems (likely)"
"Artificial intelligence (AI) concepts, machine learning, programming skills (Python preferred)"
"Data engineering skills (e.g., Hadoop, Spark), leadership"
"Java programming, object-oriented programming "
"Search engine marketing (SEM) strategies, leadership"
"Blockchain technology, programming skills (varies by role)"
"React.js framework, Node.js programming, front-end and back-end development"
"Database administration, SQL, database design"
"Android development skills (Java, Kotlin), mobile development experience"
"Digital marketing principles, social media marketing "
"Engineering skills (varies by role), leadership"
"Paid search advertising experience (e.g., Google Ads)"
"Python programming, software development methodologies"
Programmatic advertising experience (analyzing ad campaign performance)
Pay-per-click (PPC) advertising experience
"Advertising operations experience (campaign management, ad serving)"
"Data engineering skills (e.g., Hadoop, Spark), experience in big data systems (likely)"
"Google Analytics skills, web analytics"
Programmatic advertising experience (buying and selling ad inventory)
"Android development skills (Java, Kotlin), mobile development experience"
"Linux administration experience, system administration"
"Node.js programming, leadership, experience in building and managing Node.js applications"
"C#, .NET framework/core knowledge, understanding of development methodologies"
"C#, .NET framework/core development"
"Node.js programming, basic understanding of development methodologies, location: Jaipur"
"Java programming, object-oriented programming , location: Bhubaneshwar"
"C#, .NET framework/core development, experience in building complex applications (likely)"
"DevOps methodologies, experience with CI/CD tools, cloud technologies (AWS, Azure, GCP) (possible), location: Bhubaneswar"
"Java programming, object-oriented programming , experience in building enterprise applications (likely), location: Bhubaneswar"
"Node.js programming, basic understanding of development methodologies, location: Pune"
"Java programming, object-oriented programming , experience in building enterprise applications (likely), location: Indore"
"Node.js programming, basic understanding of development methodologies, location: Bhubaneswar"
"Skills not specified (position likely related to Over The Counter sales), location: Jaipur"
C++ programming
"Skills not specified (position likely related to Return To Repair), location: Jaipur"
